"ANO";"NOME";"Notificacoes_Estupro";"nivel_geografico";"total_72h";"casos_72h";"Oportunidade_72h";"total_pep";"casos_72h_pep";"PEP_72h";"total_contr";"casos_72h_contr";"Contracepção_72h_MIF";"COD_6_mun"
2015;"CORONEL MACEDO";2;"Município";2;2;100;2;2;100;0;0;0;"351260"
2015;"COSMOPOLIS";1;"Município";1;1;100;0;0;0;0;0;0;"351280"
2015;"COTIA";42;"Município";42;41;97,62;11;11;100;7;7;100;"351300"
2015;"CRAVINHOS";3;"Município";3;3;100;3;3;100;0;0;0;"351310"
2015;"CRISTAIS PAULISTA";1;"Município";1;1;100;1;1;100;0;0;0;"351320"
2015;"CUBATAO";6;"Município";6;6;100;2;2;100;2;2;100;"351350"
2015;"DIADEMA";64;"Município";64;62;96,88;15;15;100;8;8;100;"351380"
2015;"DOURADO";1;"Município";1;1;100;0;0;0;0;0;0;"351430"
2015;"DUMONT";3;"Município";3;2;66,67;1;1;100;1;1;100;"351460"
2015;"ELDORADO";2;"Município";2;2;100;2;2;100;0;0;0;"351480"
2015;"ELISIARIO";2;"Município";2;2;100;2;2;100;1;1;100;"351492"
2015;"EMBU DAS ARTES";13;"Município";13;12;92,31;7;7;100;3;3;100;"351500"
2015;"EMBU GUACU";3;"Município";3;3;100;1;1;100;1;1;100;"351510"
2015;"ESPIRITO SANTO DO PINHAL";1;"Município";1;1;100;1;1;100;0;0;0;"351518"
2015;"ESPIRITO SANTO DO TURVO";1;"Município";1;1;100;0;0;0;0;0;0;"351519"
2015;"ESTIVA GERBI";2;"Município";2;2;100;2;2;100;1;1;100;"355730"
2015;"ESTRELA DO NORTE";1;"Município";1;0;0;0;0;0;0;0;0;"351530"
2015;"FARTURA";1;"Município";1;1;100;0;0;0;0;0;0;"351540"
2015;"FERNANDOPOLIS";6;"Município";6;6;100;3;3;100;1;1;100;"351550"
2015;"FERRAZ DE VASCONCELOS";10;"Município";10;8;80;3;3;100;2;2;100;"351570"
2015;"FLORINEA";1;"Município";1;1;100;0;0;0;0;0;0;"351610"
2015;"FRANCA";4;"Município";4;4;100;3;3;100;2;2;100;"351620"
2015;"FRANCISCO MORATO";49;"Município";49;44;89,8;8;8;100;6;6;100;"351630"
2015;"FRANCO DA ROCHA";9;"Município";9;8;88,89;0;0;0;0;0;0;"351640"
2015;"GALIA";1;"Município";1;1;100;0;0;0;0;0;0;"351660"
2015;"GARCA";7;"Município";7;5;71,43;4;4;100;2;2;100;"351670"
2015;"GENERAL SALGADO";1;"Município";1;1;100;0;0;0;0;0;0;"351690"
2015;"GUAICARA";1;"Município";1;1;100;1;1;100;0;0;0;"351720"
2015;"GUAIRA";2;"Município";2;2;100;0;0;0;0;0;0;"351740"
2015;"GUAPIACU";4;"Município";4;4;100;2;2;100;1;1;100;"351750"
2015;"GUARACAI";1;"Município";1;1;100;0;0;0;0;0;0;"351780"
2015;"GUARANI DOESTE";1;"Município";1;1;100;0;0;0;0;0;0;"351800"
2015;"GUARARAPES";1;"Município";1;1;100;0;0;0;0;0;0;"351820"
2015;"GUARAREMA";2;"Município";2;2;100;0;0;0;0;0;0;"351830"
2015;"GUARATINGUETA";5;"Município";5;5;100;3;3;100;2;2;100;"351840"
2015;"GUAREI";1;"Município";1;1;100;0;0;0;0;0;0;"351850"
2015;"GUARUJA";6;"Município";6;5;83,33;4;4;100;3;3;100;"351870"
2015;"GUARULHOS";102;"Município";102;91;89,22;19;19;100;7;7;100;"351880"
2015;"HOLAMBRA";1;"Município";1;1;100;1;1;100;0;0;0;"351905"
2015;"HORTOLANDIA";28;"Município";28;28;100;10;10;100;6;6;100;"351907"
2015;"IARAS";2;"Município";2;2;100;2;2;100;2;2;100;"351925"
2015;"IBIRA";1;"Município";1;1;100;0;0;0;0;0;0;"351940"
2015;"IBIRAREMA";1;"Município";1;1;100;0;0;0;0;0;0;"351950"
2015;"IBITINGA";3;"Município";3;3;100;1;1;100;0;0;0;"351960"
2015;"IBIUNA";3;"Município";3;2;66,67;2;2;100;0;0;0;"351970"
2015;"IGARACU DO TIETE";1;"Município";1;0;0;0;0;0;0;0;0;"352000"
2015;"IGARAPAVA";1;"Município";1;1;100;0;0;0;0;0;0;"352010"
2015;"IGUAPE";5;"Município";5;5;100;3;3;100;3;3;100;"352030"
2015;"ILHA COMPRIDA";5;"Município";5;4;80;4;3;75;3;3;100;"352042"
2015;"ILHA SOLTEIRA";1;"Município";1;1;100;1;1;100;0;0;0;"352044"
2015;"ILHABELA";6;"Município";6;6;100;4;4;100;1;1;100;"352040"
2015;"INDAIATUBA";11;"Município";11;11;100;5;5;100;5;5;100;"352050"
2015;"IPERO";2;"Município";2;2;100;1;1;100;0;0;0;"352100"
2015;"IPORANGA";2;"Município";2;2;100;2;2;100;1;1;100;"352120"
2015;"IRACEMAPOLIS";1;"Município";1;1;100;1;1;100;1;1;100;"352140"
2015;"ITABERA";4;"Município";4;4;100;4;4;100;4;4;100;"352170"
2015;"ITAI";2;"Município";2;2;100;2;2;100;0;0;0;"352180"
2015;"ITAJOBI";2;"Município";2;2;100;1;1;100;0;0;0;"352190"
2015;"ITANHAEM";18;"Município";18;17;94,44;12;11;91,67;7;7;100;"352210"
2015;"ITAPECERICA DA SERRA";21;"Município";21;18;85,71;2;2;100;0;0;0;"352220"
2015;"ITAPETININGA";25;"Município";25;17;68;1;1;100;0;0;0;"352230"
2015;"ITAPEVA";20;"Município";20;15;75;7;7;100;6;6;100;"352240"
2015;"ITAPEVI";17;"Município";17;16;94,12;1;1;100;0;0;0;"352250"
2015;"ITAPIRA";7;"Município";7;7;100;3;3;100;2;2;100;"352260"
